case_a,case_b,case_number_a,case_number_b,input_distribution_distance,stress_distribution_distance,response_profile_distance,stress_p95_relative_difference,stress_p99_relative_difference,stress_max_relative_difference,input_distribution_distance_percentile,stress_distribution_distance_percentile,response_profile_distance_percentile,combined_distance_percentile_score,rank_of_b_from_a,rank_of_a_from_b,similarity_candidate,provisional_practical_screen
case_89,case_198,89,198,0.9533666014207145,0.8564354855935642,0.5147509751366256,0.18519298037106655,0.2263742852252473,0.14650268362700417,0.27100147200649716,0.4683011014669306,0.11065428150855286,0.2833189516606602,57,43,False,difference_exceeds_integrated_presplit_screen
case_147,case_158,147,158,1.2369235366671987,0.4429836121842251,0.5289275205221771,0.07606844797182533,0.09117505977847407,0.114576523768168,0.4921577584894168,0.23643469874625653,0.12136439774630729,0.2833189516606602,77,35,False,difference_exceeds_integrated_presplit_screen
case_00,case_52,0,52,0.820010341511624,0.29765146422126304,0.9501233279610687,0.04604327961752954,0.08150082245635944,0.08206940235674179,0.17582863814019592,0.14207400639561443,0.5321049692908989,0.28333587127556975,40,51,False,difference_exceeds_integrated_presplit_screen
case_03,case_06,3,6,1.1021740900602925,0.26380059717494775,0.7583980095688265,0.015750066712463998,0.03888195332066503,0.11031745520382974,0.3894218567585402,0.12009542662808995,0.3404903304400792,0.2833358712755698,63,31,False,difference_exceeds_integrated_presplit_screen
case_109,case_158,109,158,1.0004187652097865,0.11482940278752327,0.9333642833175753,0.016420505522284596,0.03174131494254829,0.0011834620709871763,0.3085630171057307,0.02451652200395919,0.5169788335617481,0.2833527908904793,59,36,False,difference_exceeds_integrated_presplit_screen
case_110,case_136,110,136,0.8281084947968844,0.4628020650671397,0.8338414525122603,0.14480219020714666,0.1425618849037578,0.11864490485222312,0.18075224607887924,0.2501395868230039,0.41916653976955487,0.2833527908904793,45,40,False,difference_exceeds_integrated_presplit_screen
case_08,case_89,8,89,0.873406497272065,0.5798539118359723,0.736574470754217,0.07448987215950643,0.10301494359521032,0.183400391291072,0.21349170092888686,0.3212019694431755,0.3153647022993757,0.2833527908904794,61,58,False,difference_exceeds_integrated_presplit_screen
case_66,case_73,66,73,1.1809605855979357,0.14685085947120893,0.7752022695850651,0.0491411145326582,0.010146729100027401,0.015456233118564786,0.44941881122785643,0.04243439419318816,0.35866199685295164,0.2835050674246654,1,3,False,difference_exceeds_integrated_presplit_screen
case_104,case_105,104,105,0.8036414383863463,1.3056925945705569,0.2458607098685701,0.3165039103932987,0.31001378709525634,0.28586266730535914,0.16486472767879803,0.6798132074513984,0.005938784833257195,0.2835389066544845,74,50,False,difference_exceeds_integrated_presplit_screen
case_85,case_158,85,158,1.2631252261059025,0.39465301499017014,0.5435580759163918,0.09226106054565095,0.0924025039256173,0.050761684801892935,0.5124105375361657,0.20603015075376885,0.1323283082077052,0.2835896654992132,64,37,False,difference_exceeds_integrated_presplit_screen
