split,case_id,metric,recomputed_lambda_1,frozen_parent_v11,absolute_difference,tolerance,pass
validation,case_105,predicted_p99,9.317169254872802,9.317169254872802,0.0,9.317169254872801e-06,True
validation,case_105,predicted_max,18.876101861021365,18.876101861021365,0.0,1.8876101861021364e-05,True
validation,case_105,p95_relative_error,0.08060762620037722,0.0806076262003772,1.3877787807814457e-17,1e-06,True
validation,case_105,p99_relative_error,0.1527427089644772,0.1527427089644772,0.0,1e-06,True
validation,case_105,p99_underprediction_fraction,0.1527427089644772,0.1527427089644772,0.0,1e-06,True
validation,case_105,prediction_abs_max_ratio,0.7788804719404827,0.7788804719404827,0.0,1e-06,True
validation,case_105,top5pct_hotspot_overlap,0.4831651513637726,0.4831651513637726,0.0,1e-06,True
validation,case_105,top1pct_hotspot_overlap,0.4757742257742258,0.4757742257742258,0.0,1e-06,True
validation,case_105,top1_recall_in_predicted_top5,0.8583916083916084,0.8583916083916084,0.0,1e-06,True
validation,case_133,rmse,1.488616492704468,1.488616492704468,0.0,1.488616492704468e-06,True
validation,case_133,r2,0.6536743165762493,0.6536743165762493,0.0,1e-06,True
validation,case_133,predicted_mean,4.497359793169398,4.497359793169398,0.0,4.497359793169398e-06,True
validation,case_133,predicted_p95,8.22189637951217,8.22189637951217,0.0,8.22189637951217e-06,True
validation,case_133,predicted_p99,10.390989542823666,10.390989542823666,0.0,1.0390989542823666e-05,True
validation,case_133,predicted_max,20.003251417437063,20.003251417437063,0.0,2.0003251417437062e-05,True
validation,case_133,p95_relative_error,0.02096283900760354,0.0209628390076035,3.8163916471489756e-17,1e-06,True
validation,case_133,p99_relative_error,0.1894026926651611,0.1894026926651611,0.0,1e-06,True
validation,case_133,p99_underprediction_fraction,0.1894026926651611,0.1894026926651611,0.0,1e-06,True
validation,case_133,prediction_abs_max_ratio,0.691296983578172,0.691296983578172,0.0,1e-06,True
validation,case_133,top5pct_hotspot_overlap,0.4784693775601958,0.4784693775601958,0.0,1e-06,True
