case_id,case_number,feature,abs_spearman,spearman,abs_spearman_rank_score,abs_standardized_difference,standardized_difference,high_stress_rank_score,combined_case_sensitivity_score
case_73,73,theta_cos,0.05388091401353366,-0.05388091401353366,0.3333333333333333,0.01190674367082142,-0.01190674367082142,0.08333333333333333,0.20833333333333331
case_73,73,theta_sin,0.05388091401353366,0.05388091401353366,0.3333333333333333,0.1479888234904172,-0.1479888234904172,0.25,0.29166666666666663
case_73,73,weight_loss_rate,0.39697687660755976,-0.39697687660755976,1.0,1.6285841570585025,-1.6285841570585025,1.0,1.0
case_73,73,z,0.007897457292629502,0.007897457292629502,0.08333333333333333,0.1776180447193455,0.1776180447193455,0.3333333333333333,0.20833333333333331
case_74,74,distance_to_inner_proxy,0.1524974742352996,0.1524974742352996,0.7083333333333334,0.1145486737478118,-0.1145486737478118,0.6666666666666666,0.6875
case_74,74,distance_to_outer_proxy,0.1524974742352996,-0.1524974742352996,0.7083333333333334,0.11454867374781058,0.11454867374781058,0.4166666666666667,0.5625
case_74,74,fluence_rate,0.05838679848406083,-0.05838679848406083,0.3333333333333333,0.05351308854298216,-0.05351308854298216,0.08333333333333333,0.20833333333333331
case_74,74,param_field_magnitude_scaled,0.3277328331644644,-0.3277328331644644,1.0,0.2065214786642979,0.2065214786642979,0.75,0.875
case_74,74,rho,0.1524974742352996,0.1524974742352996,0.7083333333333334,0.11454867374781139,-0.11454867374781139,0.5833333333333334,0.6458333333333334
case_74,74,rho_normalized,0.1524974742352996,0.1524974742352996,0.7083333333333334,0.11454867374781086,-0.11454867374781086,0.5,0.6041666666666667
case_74,74,temperature,0.17109980046277037,-0.17109980046277037,0.9166666666666666,0.11232043286959349,0.11232043286959349,0.3333333333333333,0.625
case_74,74,theta,0.03632264809689879,0.03632264809689879,0.16666666666666666,0.0959714120882508,0.0959714120882508,0.25,0.20833333333333331
case_74,74,theta_cos,0.03632264809689879,-0.03632264809689879,0.16666666666666666,0.24548361377474714,-0.24548361377474714,0.9166666666666666,0.5416666666666666
case_74,74,theta_sin,0.03632264809689879,0.03632264809689879,0.16666666666666666,0.07132864132422008,0.07132864132422008,0.16666666666666666,0.16666666666666666
case_74,74,weight_loss_rate,0.1176848211500606,-0.1176848211500606,0.4166666666666667,0.3613725237288232,0.3613725237288232,1.0,0.7083333333333334
case_74,74,z,0.13340607898842496,0.13340607898842496,0.5,0.21320947126532655,0.21320947126532655,0.8333333333333334,0.6666666666666667
case_75,75,distance_to_inner_proxy,0.029133563953148613,0.029133563953148613,0.2916666666666667,0.7923264569385794,-0.7923264569385794,0.875,0.5833333333333334
case_75,75,distance_to_outer_proxy,0.029133563953148613,-0.029133563953148613,0.2916666666666667,0.7923264569385794,0.7923264569385794,0.875,0.5833333333333334
case_75,75,fluence_rate,0.12428903896198135,0.12428903896198135,0.8333333333333334,0.58058770768328,0.58058770768328,0.5,0.6666666666666667
case_75,75,param_field_magnitude_scaled,0.474928223588687,-0.474928223588687,1.0,0.34575776662374524,-0.34575776662374524,0.3333333333333333,0.6666666666666666
case_75,75,rho,0.029133563953148613,0.029133563953148613,0.2916666666666667,0.7923264569385805,-0.7923264569385805,1.0,0.6458333333333334
case_75,75,rho_normalized,0.029133563953148613,0.029133563953148613,0.2916666666666667,0.7923264569385792,-0.7923264569385792,0.75,0.5208333333333334
case_75,75,temperature,0.05501573896397055,-0.05501573896397055,0.75,0.7540953099146046,0.7540953099146046,0.6666666666666666,0.7083333333333333
case_75,75,theta,0.05436668670419818,0.05436668670419818,0.5833333333333334,0.22320386416126556,0.22320386416126556,0.16666666666666666,0.375
case_75,75,theta_cos,0.05436668670419818,-0.05436668670419818,0.5833333333333334,0.3609385627120789,-0.3609385627120789,0.4166666666666667,0.5
case_75,75,theta_sin,0.05436668670419818,0.05436668670419818,0.5833333333333334,0.20023148830335236,0.20023148830335236,0.08333333333333333,0.33333333333333337
case_75,75,weight_loss_rate,0.01839069886566854,0.01839069886566854,0.08333333333333333,0.6024359281687881,0.6024359281687881,0.5833333333333334,0.33333333333333337
case_75,75,z,0.22513502629919518,0.22513502629919518,0.9166666666666666,0.29732651163334395,0.29732651163334395,0.25,0.5833333333333333
case_76,76,distance_to_inner_proxy,0.040124296290917336,0.040124296290917336,0.5416666666666666,0.7134551082440955,-0.7134551082440955,0.8333333333333334,0.6875
case_76,76,distance_to_outer_proxy,0.040124296290917336,-0.040124296290917336,0.5416666666666666,0.713455108244096,0.713455108244096,0.9166666666666666,0.7291666666666666
case_76,76,fluence_rate,0.11879603265582635,0.11879603265582635,0.8333333333333334,0.5532248361297144,0.5532248361297144,0.6666666666666666,0.75
case_76,76,param_field_magnitude_scaled,0.4189393238048037,-0.4189393238048037,1.0,0.42192031533931695,-0.42192031533931695,0.5833333333333334,0.7916666666666667
case_76,76,rho,0.040124296290917336,0.040124296290917336,0.5416666666666666,0.7134551082440974,-0.7134551082440974,1.0,0.7708333333333333
case_76,76,rho_normalized,0.040124296290917336,0.040124296290917336,0.5416666666666666,0.7134551082440954,-0.7134551082440954,0.75,0.6458333333333333
case_76,76,temperature,0.0379719992667006,0.0379719992667006,0.3333333333333333,0.2912899021372477,0.2912899021372477,0.3333333333333333,0.3333333333333333
case_76,76,theta,0.03156842969949575,0.03156842969949575,0.16666666666666666,0.22303708132357547,0.22303708132357547,0.25,0.20833333333333331
case_76,76,theta_cos,0.03156842969949575,-0.03156842969949575,0.16666666666666666,0.35591072337715385,-0.35591072337715385,0.4166666666666667,0.2916666666666667
case_76,76,theta_sin,0.03156842969949575,0.03156842969949575,0.16666666666666666,0.20066137996477218,0.20066137996477218,0.16666666666666666,0.16666666666666666
case_76,76,weight_loss_rate,0.11710698292877154,-0.11710698292877154,0.75,0.11913229976621598,-0.11913229976621598,0.08333333333333333,0.4166666666666667
case_76,76,z,0.24157831348689424,0.24157831348689424,0.9166666666666666,0.37228407849650824,0.37228407849650824,0.5,0.7083333333333333
case_77,77,distance_to_inner_proxy,0.020242536931993387,-0.020242536931993387,0.20833333333333334,0.8361057044871762,-0.8361057044871762,1.0,0.6041666666666666
case_77,77,distance_to_outer_proxy,0.020242536931993387,0.020242536931993387,0.20833333333333334,0.8361057044871759,0.8361057044871759,0.9166666666666666,0.5625
